School District,School Name,School Address,City Town,Zip,Type of school,Total Enrolled,Total HBV,% HBV,Total Polio,% Polio,Total MMR,% MMR,Total HBV2,% HBV2,Total VZV,% Varicella,Total 7-12 Enrolled,Total Tdap,% TDaP,Total MCV*,% MCV*
Gateway ,Moss Side Middle School,9000 Gateway Campus Blvd,Monroeville,15146,Public,1065,1040,97.7%,1038,97.5%,1037,97.4%,1042,97.8%,1038,97.5%,533,510,95.7%,510,95.7%
Gateway ,Propel Pitcairn,435 Agatha Street,Pitcairn,15140,Charter,224,219,97.8%,218,97.3%,215,96.0%,219,97.8%,214,95.5%,43,42,97.7%,42,97.7%
Gateway ,Ramsey Elementary,2200 Ramsey Rd ,Monroeville,15146,Public,344,326,94.8%,326,94.8%,326,94.8%,326,94.8%,326,94.8%,0,0,,0,
Gateway ,University Park Elementary,"320 Noel Drive 
",Monroeville,15146,Public,298,286,96.0%,286,96.0%,284,95.3%,286,96.0%,284,95.3%,0,0,,0,
Glen Montessori,Glen Montessori,"950 Perry Highway
",Pittsburgh,15237,Private/Independent,93,88,94.6%,88,94.6%,88,94.6%,87,93.5%,86,92.5%,0,0,,0,
"Goddard-upper st clair, PA",Goddard School,655 Painters Run Rd,Upper St. Clair,15228,Private/Independent,7,6,85.7%,6,85.7%,6,85.7%,7,100.0%,6,85.7%,0,0,,0,
Greater Works Christian School,Greater Works Christian School,301 College Park,Monroeville,15146,Parochial/Religious,52,48,92.3%,48,92.3%,48,92.3%,48,92.3%,48,92.3%,4,4,100.0%,4,100.0%
Hampton Township ,Aquinas Academy,2308 West Hardies Road,Gibsonia,15044,Parochial/Religious,485,431,88.9%,428,88.2%,434,89.5%,434,89.5%,431,88.9%,230,210,91.3%,206,89.6%
Hampton Township ,Central Elementary,4100 Middle Rd.,Allison Park,15101,Public,449,438,97.6%,439,97.8%,439,97.8%,435,96.9%,439,97.8%,0,0,,0,
Hampton Township ,Hampton High School,2929 McCully Rd.,Allison Park,15101,Public,888,882,99.3%,883,99.4%,879,99.0%,881,99.2%,867,97.6%,888,879,99.0%,871,98.1%
Hampton Township ,Hampton Home School Students,2929 McCully Rd.,Allison Park,15101,Public,52,26,50.0%,26,50.0%,26,50.0%,26,50.0%,26,50.0%,21,10,47.6%,10,47.6%
Hampton Township ,Hampton Middle School,4589 School Drive,Allison Park,15101,Public,648,636,98.1%,630,97.2%,639,98.6%,641,98.9%,637,98.3%,436,430,98.6%,428,98.2%
Hampton Township ,Hampton Online Academy,2929 McCully Rd.,Allison Park,15101,Cyber,33,32,97.0%,32,97.0%,32,97.0%,32,97.0%,32,97.0%,26,26,100.0%,26,100.0%
Hampton Township ,Poff Elementary,2990 Haberlein Rd. ,Gibsonia,15044,Public,316,309,97.8%,309,97.8%,308,97.5%,310,98.1%,308,97.5%,0,0,,0,
Hampton Township ,Wyland Elementary,2284 Wyland Ave. ,Allison Park ,15101,Public,353,343,97.2%,343,97.2%,343,97.2%,343,97.2%,343,97.2%,0,0,,0,
Harvest Baptist Academy,Harvest Baptist Academy,224 Harvest Lane,Natrona Heights,15065,Private/Independent,239,192,80.3%,189,79.1%,192,80.3%,194,81.2%,189,79.1%,74,56,75.7%,52,70.3%
Highlands ,Highlands Early Childhood Center,1060 Atlantic Avenue,Brackenridge,15014,Public,167,126,75.4%,126,75.4%,126,75.4%,126,75.4%,126,75.4%,0,0,,0,
Highlands ,Highlands Elementary School,"101 East 9th Ave
",Tarentum,15084,Public,633,606,95.7%,604,95.4%,614,97.0%,617,97.5%,607,95.9%,0,0,,0,
Highlands ,Highlands High School,1500 Pacific Ave.,Natrona Heights,15065,Public,705,695,98.6%,694,98.4%,696,98.7%,699,99.1%,694,98.4%,705,691,98.0%,628,89.1%
Highlands ,Highlands Middle School,1350 Broadview Blvd.,Natrona Heights,15065,Public,666,619,92.9%,619,92.9%,619,92.9%,619,92.9%,615,92.3%,348,310,89.1%,309,88.8%
Highlands ,Saint Joseph High School,"800 Montana Ave.
",Natrona Heights,15065,Parochial/Religious,119,118,99.2%,118,99.2%,118,99.2%,118,99.2%,116,97.5%,119,118,99.2%,112,94.1%
Holy Cross Academy,Holy Cross Academy,307 Seibert Rd,Pittsburgh,15237,Parochial/Religious,231,225,97.4%,225,97.4%,221,95.7%,224,97.0%,222,96.1%,59,56,94.9%,55,93.2%
Holy Family Catholic School,Holy Family Catholic School (formerly St. John the Baptist & St. Jospeh),"418 Unity Center Road
",Plum,15239,Parochial/Religious,182,163,89.6%,163,89.6%,161,88.5%,163,89.6%,160,87.9%,28,26,92.9%,26,92.9%
Hope Academy,Hope Academy,12300 Perry Highway,Wexford,15090,Private/Independent,35,29,82.9%,29,82.9%,29,82.9%,29,82.9%,29,82.9%,13,11,84.6%,11,84.6%
Jubilee,Jubilee Christian School,255 Washington Road,Pittsburgh,15216,Parochial/Religious,30,23,76.7%,22,73.3%,22,73.3%,22,73.3%,24,80.0%,0,0,,0,
Keystone Oaks ,Aiken Elementary,881 Greentree Road,Pittsburgh,15220,Public,217,216,99.5%,216,99.5%,215,99.1%,215,99.1%,215,99.1%,0,0,,0,
Keystone Oaks ,Dormont Elementary,3200 Annapolis Ave,Pittsburgh,15216,Public,341,331,97.1%,331,97.1%,332,97.4%,332,97.4%,331,97.1%,0,0,,0,
Keystone Oaks ,Guardian Angel Academy,915 Alice Street,Pittsburgh,15220,Parochial/Religious,244,239,98.0%,240,98.4%,238,97.5%,239,98.0%,238,97.5%,49,48,98.0%,48,98.0%
Keystone Oaks ,Keystone Oaks High School,1000 Kelton Avenue,Pittsburgh,15216,Public,593,582,98.1%,583,98.3%,586,98.8%,582,98.1%,579,97.6%,593,578,97.5%,573,96.6%
Keystone Oaks ,Keystone Oaks Middle School,1002 Kelton Avenue,Pittsburgh,15216,Public,405,401,99.0%,399,98.5%,402,99.3%,400,98.8%,400,98.8%,275,272,98.9%,271,98.5%
Keystone Oaks ,Myrtle Elementary,3724 Myrtle Ave,Pittsburgh,15234,Public,306,298,97.4%,298,97.4%,298,97.4%,299,97.7%,296,96.7%,0,0,,0,
KinderCare Learning Center,South Park ,2901 Ridge Rd,South Park,15129,Private/Independent,9,9,100.0%,9,100.0%,9,100.0%,9,100.0%,9,100.0%,0,0,,0,
Mary of Nazareth,Mary of Nazareth Catholic School,1640 Fawcett Ave,White Oak,15132,Parochial/Religious,142,141,99.3%,141,99.3%,141,99.3%,141,99.3%,141,99.3%,44,32,72.7%,32,72.7%
McKeesport ,Founders Hall Middle School,3600 O'Neil Blvd.,McKeesport,15132,Public,770,742,96.4%,742,96.4%,742,96.4%,742,96.4%,742,96.4%,560,544,97.1%,544,97.1%
McKeesport ,Francis McClure,500 Longvue Drive,White Oak,15131,Public,622,609,97.9%,602,96.8%,604,97.1%,609,97.9%,609,97.9%,0,0,,0,
McKeesport ,McKeesport Senior HighSchool,1960 Eden Park Blvd,McKeesport,15132,Public,1027,1007,98.1%,1007,98.1%,1007,98.1%,1007,98.1%,1007,98.1%,1027,1007,98.1%,1007,98.1%
McKeesport ,Serra Catholic,200 Hershey Drive ,Mckeesport,15132,Parochial/Religious,274,271,98.9%,271,98.9%,271,98.9%,271,98.9%,271,98.9%,274,271,98.9%,252,92.0%
McKeesport ,Twin Rivers Elementery School,1600 Cornell St,McKeesport,15132,Public,719,704,97.9%,704,97.9%,696,96.8%,704,97.9%,704,97.9%,0,0,,0,
Montessori Centre Academy,Montessori Centre Academy,1014 William Flinn Highway,Glenshaw,15116,Private/Independent,59,51,86.4%,51,86.4%,52,88.1%,52,88.1%,51,86.4%,0,0,,0,
Montessori Children's Community,Montessori Children's Community,"474 Chadwick Street
",Sewickley,15143,Private/Independent,46,42,91.3%,43,93.5%,43,93.5%,43,93.5%,42,91.3%,9,9,100.0%,9,100.0%
Montessori Mt. Lebanon,Mt. Lebanon Montessori,70 Moffett Street,Pittsburgh,15243,Private/Independent,51,49,96.1%,49,96.1%,49,96.1%,49,96.1%,49,96.1%,0,0,,0,
Montour ,bradley school,5180 Campbells Run Road,Pittsburgh,15205,Private/Independent,62,60,96.8%,60,96.8%,60,96.8%,60,96.8%,60,96.8%,46,44,95.7%,43,93.5%
Montour ,David E. Williams Middle School,60 Gawaldo Drive,Coraopolis,15108,Public,954,941,98.6%,944,99.0%,936,98.1%,945,99.1%,944,99.0%,495,487,98.4%,487,98.4%
Montour ,Montour Elementary,221 Clever Road,McKees Rocks,15136,Public,1189,1164,97.9%,1161,97.6%,1162,97.7%,1165,98.0%,1155,97.1%,0,0,,0,
Montour ,Montour High School,223 Clever Road,McKees Rocks,15136,Public,905,897,99.1%,897,99.1%,891,98.5%,899,99.3%,894,98.8%,905,898,99.2%,895,98.9%
Moon Area ,Bon Meade Elementary,1595 Brodhead Road,Moon Twsp.,15108,Public,571,559,97.9%,554,97.0%,555,97.2%,557,97.5%,552,96.7%,0,0,,0,
Moon Area ,Brooks Elementary,1720 Hassam Rd,Moon Twsp.,15108,Public,390,384,98.5%,384,98.5%,383,98.2%,387,99.2%,382,97.9%,0,0,,0,
Moon Area ,Hyde Elementary,110 Walridge Dr,Moon Twsp.,15108,Public,299,294,98.3%,293,98.0%,294,98.3%,294,98.3%,293,98.0%,0,0,,0,
Moon Area ,J.A. Allard Elementary,170 Shafer Rd.,Moon Twsp.,15108,Public,211,206,97.6%,205,97.2%,204,96.7%,206,97.6%,204,96.7%,0,0,,0,
Moon Area ,McCormick Elementary,2901 Beaver Grade Road,Moon Twsp.,15108,Public,195,191,97.9%,191,97.9%,190,97.4%,191,97.9%,190,97.4%,0,0,,0,
Moon Area ,Moon Area High School,8353 University Blvd,Coraopolis,15108,Public,1196,1182,98.8%,1174,98.2%,1182,98.8%,1175,98.2%,1179,98.6%,1196,1174,98.2%,1166,97.5%
Moon Area ,Moon Area Middle School,904 Beaver Grade Rd.,Moon Twsp.,15108,Public,1190,1165,97.9%,1165,97.9%,1165,97.9%,1165,97.9%,1165,97.9%,605,593,98.0%,593,98.0%
Moon Area ,OLSH - Our Lady Sacred Heart,1504 Woodcrest Ave,Moon Twsp.,15108,Parochial/Religious,333,326,97.9%,326,97.9%,326,97.9%,326,97.9%,326,97.9%,333,326,97.9%,326,97.9%
Moon Area ,Rhema,211 Oakhaven Dr,Moon Twsp.,15108,Parochial/Religious,98,88,89.8%,88,89.8%,88,89.8%,88,89.8%,88,89.8%,12,9,75.0%,11,91.7%
Mt. Lebanon ,Foster Elementary,700 Vermont Ave.,Pittsburgh,15243,Public,268,263,98.1%,263,98.1%,263,98.1%,263,98.1%,262,97.8%,0,0,,0,
Mt. Lebanon ,Hoover Elementary,37 Robb Hollow Rd,Pittsburgh,15243,Public,278,274,98.6%,274,98.6%,273,98.2%,273,98.2%,274,98.6%,0,0,,0,
Mt. Lebanon ,Howe Elementary,400 Broadmoor Ave.,Pittsburgh ,15228,Public,360,355,98.6%,355,98.6%,355,98.6%,355,98.6%,353,98.1%,0,0,,0,
Mt. Lebanon ,Jefferson Elementary,11 Moffett Street,Pittsburgh,15243,Public,302,297,98.3%,297,98.3%,296,98.0%,294,97.4%,297,98.3%,0,0,,0,
Mt. Lebanon ,Jefferson Middle School,21 Moffett Street,Pittsburgh,15243,Public,614,601,97.9%,599,97.6%,600,97.7%,601,97.9%,599,97.6%,417,403,96.6%,400,95.9%
Mt. Lebanon ,Lincoln Elementary,2 Ralston Place ,Pittsburgh,15216,Public,431,418,97.0%,417,96.8%,424,98.4%,418,97.0%,418,97.0%,0,0,,0,
